id,ticket_id,data_hora,casa,partida,campeonato,minuto,mercado,selecao,odd,stake_brl,stake_tipo,retorno_potencial_brl,cashout_atual_brl,status
1,SB-20260828-01,2026-08-28 18:05,Superbet,Alavés x Villarreal,LaLiga,80 (2T),Resultado Final (1X2),Alavés Vence,1.42,5.00,Dinheiro Real,7.10,5.30,EM ABERTO
2,SB-20260828-02,2026-08-28 18:05,Superbet,Alavés x Villarreal,LaLiga,80 (2T),2º Gol / Total de Gols,Nenhuma Equipe (Under 1.5),2.35,5.00,Dinheiro Real,11.75,6.38,EM ABERTO
3,SB-20260828-03,2026-08-28 18:12,Superbet,Mushuc Runa x Delfín + Comerciantes x Cajamarca,Equador + Peru,43 (1T),Múltipla In-Play,Nenhum Gol (3.30) + Under 3.5 (2.07),6.83,2.00,Aposta Grátis,11.66,1.69,EM ABERTO
